Device_ID,Device_Type,Purchase_Date,Age,Manufacturer,Model,Country,Maintenance_Cost,Downtime,Maintenance_Frequency,Failure_Event_Count,Maintenance_Class,Maintenance_Report,Operational_Hours_Est,Expected_Lifespan_Est,MTBF,Cost_Per_Hour,Lifespan_Usage_Ratio,Risk_Class,Risk_Class_Label
MD00001,Defibrillator,23-04-2018,7,CardioSync,Model-100,France,7165.774209,7.352283834,3,0,1,Component component upgrade after detecting overheating; functionality restored. log cleaned low priority fault,62406,12,27046.18439,-0.0397037,0.425873373,Low Risk,0
MD00002,Infusion Pump,10-12-2020,5,MedEquip,Model-650,Italy,7547.977878,8.151262657,3,4,2,battery wear caused operational delay; replacement initiated. driver update device required inspection,43368,12,11711.65192,0.280170543,0.655754742,Medium Risk,1
MD00003,MRI Scanner,22-11-2023,2,ImagingTech,Model-650,France,5214.373953,13.89069312,1,2,3,data lag caused operational delay; component upgrade initiated. data loss emergency shutdown,19640,12,9260.688344,0.119073699,0.346297524,Medium Risk,1
MD00004,Defibrillator,03-03-2021,4,RescueTech,Model-450,UK,4919.749714,28.78607382,3,1,3,Routine check completed; battery wear observed during diagnostics. sensor replaced emergency shutdown,33639,12,37008.70673,0.303773203,0.250466218,Medium Risk,1
MD00005,Defibrillator,16-05-2019,6,RescueTech,Model-450,Canada,7792.314945,13.85439172,4,4,2,Component inspection after detecting voltage spike; functionality restored. driver update moderate delay,50227,12,12689.55873,0.118161847,0.660139045,Medium Risk,1
MD00006,X-Ray Machine,19-06-2019,6,CardioSync,Model-250,UK,11209.56437,3.700602974,4,3,2,software crash caused operational delay; software patch initiated. reviewed logs performance warning,49883,12,17084.15874,0.249769954,0.384987271,High Risk,2
MD00007,Defibrillator,20-09-2013,12,RescueTech,Model-600,Japan,4931.243138,15.42584527,1,2,2,Component recalibration after detecting overheating; functionality restored. component issue device required inspection,106223,12,51792.91845,0.149113014,0.932628055,Medium Risk,1
MD00008,Infusion Pump,02-02-2023,2,ImagingTech,Model-450,Japan,13164.8952,15.35430084,1,2,3,Component replacement after detecting voltage spike; functionality restored. data loss system crash,16554,12,11599.66835,0.716898188,0.167626458,High Risk,2
MD00009,MRI Scanner,22-09-2023,2,MedEquip,Model-550,Canada,5827.765292,0.826211262,2,0,1,Routine check completed; battery wear observed during diagnostics. log cleaned log file cleared,17325,12,28066.05316,0.420119815,0.079015719,Low Risk,0
MD00010,Defibrillator,14-10-2023,2,ImagingTech,Model-150,Canada,16839.40804,25.27659974,3,0,3,Component firmware update after detecting voltage spike; functionality restored. critical failure urgent inspection needed,19039,12,25577.68099,0.846229819,0.227213475,Low Risk,0
MD00011,MRI Scanner,29-05-2014,11,MedEquip,Model-200,France,-7.047328996,10.69655089,5,1,3,Component recalibration after detecting software crash; functionality restored. sensor replaced critical failure,96816,12,94957.8451,-0.066732612,1.030409746,Medium Risk,1
MD00012,PET Scanner,25-01-2014,11,RescueTech,Model-650,France,21718.2641,6.607123337,3,1,3,Component software patch after detecting data lag; functionality restored. critical failure critical failure,94714,12,96129.0134,0.269724944,0.774729495,Medium Risk,1
MD00013,X-Ray Machine,21-09-2014,11,UltraMed,Model-500,France,8644.167339,13.5566492,4,3,3,sensor misalignment caused operational delay; recalibration initiated. critical failure system crash,98614,12,32202.44647,0.130174405,0.928519285,Medium Risk,1
MD00014,MRI Scanner,06-06-2015,10,CardioSync,Model-350,UK,11695.78968,6.803286163,2,2,3,Routine check completed; software crash observed during diagnostics. sensor replaced system crash,87196,12,44096.68023,0.167194961,0.734307451,Medium Risk,1
MD00015,Defibrillator,23-10-2020,5,UltraMed,Model-250,Japan,1368.607244,9.664101106,2,2,1,Routine check completed; battery wear observed during diagnostics. quick fix stable condition,43713,12,20108.9184,0.184299777,0.444143145,Medium Risk,1
MD00016,Defibrillator,14-09-2018,7,ScanPro,Model-150,France,3025.556447,2.245768826,3,2,1,voltage spike caused operational delay; inspection initiated. quick fix low priority fault,60331,12,29799.36822,0.044922537,0.613151107,Medium Risk,1
MD00017,Infusion Pump,04-02-2017,8,UltraMed,Model-550,Canada,4366.283317,0.976801334,2,6,1,circuit failure caused operational delay; firmware update initiated. log cleaned temporary glitch,68532,12,13094.61816,0.222339269,0.602953299,Medium Risk,1
MD00018,X-Ray Machine,29-08-2018,7,MedEquip,Model-450,Japan,14345.54104,7.601981996,4,1,3,Routine check completed; sensor misalignment observed during diagnostics. critical failure urgent inspection needed,61640,12,62032.54626,0.235759837,0.566910622,Medium Risk,1
MD00019,CT Scanner,28-02-2016,9,ScanPro,Model-600,France,3960.136759,2.15313786,2,4,1,Component recalibration after detecting overheating; functionality restored. software reset quick fix,76840,12,18896.77562,0.114778861,0.760322954,Medium Risk,1
MD00020,Infusion Pump,09-06-2023,2,RescueTech,Model-150,France,5914.061631,7.961503409,3,6,1,System performance degraded due to abnormal sound; mitigation via system reset. log cleaned temporary glitch,17405,12,4046.002794,0.414084944,0.098243831,Medium Risk,1
MD00021,PET Scanner,05-09-2023,2,CardioSync,Model-100,Japan,6026.314309,15.6452827,1,3,3,software crash caused operational delay; software patch initiated. sensor replaced hardware fault,19720,12,6977.81601,0.29745062,-0.000777542,Medium Risk,1
MD00022,Defibrillator,28-12-2017,8,RescueTech,Model-450,Italy,7446.871168,8.925449532,4,1,1,Routine check completed; abnormal sound observed during diagnostics. minor issue low priority fault,71123,12,72668.38168,0.125580835,0.744241706,Medium Risk,1
MD00023,PET Scanner,06-06-2017,8,RescueTech,Model-450,France,4883.605295,9.6554885,3,1,1,System performance degraded due to software crash; mitigation via replacement. software reset log file cleared,70362,12,69828.53057,-0.075523383,0.743506344,Medium Risk,1
MD00024,X-Ray Machine,28-07-2015,10,CardioSync,Model-100,USA,6656.802988,10.72896165,2,0,1,voltage spike caused operational delay; inspection initiated. minor issue stable condition,86076,12,25495.64341,0.088600282,0.905547026,Low Risk,0
MD00025,Infusion Pump,13-04-2014,11,ImagingTech,Model-650,UK,6572.493018,7.617658017,2,1,1,System performance degraded due to voltage spike; mitigation via system reset. quick fix log file cleared,96276,12,96186.71122,0.071513851,0.817382398,Medium Risk,1
MD00026,Defibrillator,11-02-2023,2,ScanPro,Model-400,France,1565.01039,3.934949901,2,1,1,Routine check completed; software crash observed during diagnostics. software reset system check passed,16415,12,18598.0615,0.151907285,0.143403376,Medium Risk,1
MD00027,X-Ray Machine,25-02-2022,3,UltraMed,Model-500,Italy,7712.340012,4.397959663,2,1,1,Routine check completed; abnormal sound observed during diagnostics. log cleaned minor issue,28281,12,24820.60097,0.284266932,0.086937634,Medium Risk,1
MD00028,Defibrillator,13-04-2023,2,CardioSync,Model-450,Italy,1697.221616,13.36283245,3,4,2,Routine check completed; sensor misalignment observed during diagnostics. component issue component review,16862,12,4384.759333,0.30136113,0.375269504,Medium Risk,1
MD00029,PET Scanner,30-12-2019,6,ImagingTech,Model-100,France,11169.05301,8.841114498,1,2,2,Routine check completed; battery wear observed during diagnostics. component issue non-critical warning,51469,12,26325.18892,0.04654162,0.367138642,Medium Risk,1
MD00030,PET Scanner,02-10-2016,9,MedEquip,Model-250,Canada,6641.465859,7.291061263,2,3,1,overheating caused operational delay; replacement initiated. quick fix stable condition,78538,12,27826.54413,-0.03513769,0.875174877,Medium Risk,1
MD00031,X-Ray Machine,25-08-2021,4,ScanPro,Model-450,Canada,15237.2175,13.71742506,4,1,3,Routine check completed; sensor misalignment observed during diagnostics. reboot failed urgent inspection needed,33955,12,34414.51791,0.336538946,0.255719877,Medium Risk,1
MD00032,Infusion Pump,08-08-2018,7,MedEquip,Model-400,UK,3509.502594,8.827131323,5,1,3,sensor misalignment caused operational delay; replacement initiated. sensor replaced sensor replacement,61647,12,61149.05301,0.050422131,0.613607551,Medium Risk,1
MD00033,MRI Scanner,14-10-2019,6,ScanPro,Model-250,France,14288.85445,1.965744727,5,1,2,Component inspection after detecting circuit failure; functionality restored. reviewed logs non-critical warning,55087,12,53168.39719,0.190920996,0.474313245,Medium Risk,1
MD00034,X-Ray Machine,12-04-2016,9,ImagingTech,Model-350,UK,23979.3168,5.364010157,1,0,3,overheating caused operational delay; software patch initiated. sensor replaced critical failure,78850,12,25564.11022,0.179415876,0.71144971,Low Risk,0
MD00035,X-Ray Machine,26-05-2015,10,ImagingTech,Model-550,Italy,1802.916262,4.506404567,2,1,2,Routine check completed; circuit failure observed during diagnostics. driver update average severity report,86319,12,86672.77673,-0.027424947,0.873979814,Medium Risk,1
MD00036,MRI Scanner,07-08-2017,8,MedEquip,Model-400,Canada,16453.05178,26.34211556,3,2,3,Routine check completed; abnormal sound observed during diagnostics. critical failure system crash,69861,12,37219.62394,0.094102142,0.611479586,Medium Risk,1
MD00037,CT Scanner,17-04-2023,2,ImagingTech,Model-250,Japan,13388.70094,7.650433825,2,0,3,System performance degraded due to software crash; mitigation via software patch. critical failure sensor replacement,15756,12,26928.91885,0.817685668,0.005321822,Low Risk,0
MD00038,CT Scanner,14-03-2023,2,UltraMed,Model-550,UK,4564.86499,3.965981132,3,1,2,battery wear caused operational delay; system reset initiated. component issue moderate delay,21508,12,18934.86321,0.302706939,0.150089268,Medium Risk,1
MD00039,X-Ray Machine,19-08-2013,12,CardioSync,Model-350,Canada,2543.562059,5.899098783,4,1,1,software crash caused operational delay; component upgrade initiated. software reset low priority fault,107619,12,105965.4107,-0.100047869,1.111444991,Medium Risk,1
